POSTCODE,ID,NAME,Type,LATITUDE,LONGITUDE
B120YA,M85713,HIGHGATE MEDICAL CENTRE,Surgery,52.464365,-1.88746
B120YU,P2FM,ALHUDA HEALTHCARE LTD,Pharmacy,52.465864,-1.884865
B120YU,P3P8,BHSS HEALTHCARE LTD,Pharmacy,52.465864,-1.884865
B120YU,FMN19,MEDISINA PHARMACY,Dispensary,52.465864,-1.884865
B128AN,FJF91,STAG CHEMIST,Dispensary,52.452241,-1.872982
B128AN,PHC2,STAG CHEMIST BIRMINGHAM LIMITED,Pharmacy,52.452241,-1.872982
B128AN,P0RY,MR ABID HUSSAIN,Pharmacy,52.452241,-1.872982
B128JU,FEX08,SIRPAL CHEMIST,Dispensary,52.455257,-1.876932
B128JU,P00J,R. K. SIRPAL,Pharmacy,52.455257,-1.876932
B128QE,M85164,NEWPORT MEDICAL GROUP,Surgery,52.45223,-1.879633
B129AH,FQK52,SHIFA PHARMACY,Dispensary,52.456983,-1.885448
B129AH,P3MG,AL-SHADHILI LTD,Pharmacy,52.456983,-1.885448
B129BU,P1D8,PRIME HEALTH (UK) LTD,Pharmacy,52.456507,-1.886258
B129BU,P584,MERALI PHARMACY LTD,Pharmacy,52.456507,-1.886258
B129LP,M85766,BALSALL HEATH HEALTH CENTRE (S),Surgery,52.457395,-1.887943
B129LP,FLV62,BALSALL HEATH PHARMACY,Dispensary,52.457395,-1.887943
B129LP,M85128,DR WALJI AND COLLEAGUES,Surgery,52.457395,-1.887943
B129LP,M85051,FIRSTCARE PRACTICE,Surgery,52.457395,-1.887943
B129LY,FDG75,SHIRE PHARMACY,Dispensary,52.458234,-1.896909
B129LY,FWL16,FAKIR PHARMACY CANNON HILL,Dispensary,52.458234,-1.896909
B129LY,P1D1,CANNON HIL (UK) LTD,Pharmacy,52.458234,-1.896909
B129NN,P491,FAKIR CHEMIST,Pharmacy,52.4576,-1.896404
B129NN,P75Q,FAKIR KU LTD,Pharmacy,52.4576,-1.896404
B129RR,M85783,STRENSHAM ROAD SURGERY,Surgery,52.453843,-1.892563
B12JF,FJV53,BOOTS,Dispensary,52.478071,-1.914531
B12PZ,P70P,CITY LOCUM SERVICES LTD,Pharmacy,52.483631,-1.920749
B12PZ,FKE60,LADYWOOD PHARMACY,Dispensary,52.483631,-1.920749
B130AR,P1DX,S MATHARU LTD,Pharmacy,52.433327,-1.858092
B130HN,Y02432,ANTICOAG SERVICE GREENRIDGE,Surgery,52.428433,-1.871035
B130HN,M85006,GREEN RIDGE SURGERY,Surgery,52.428433,-1.871035
B130HY,FRX85,EVERGREEN PHARMACY LTD,Dispensary,52.42597,-1.871028
B130HY,FVM46,LLOYDSPHARMACY,Dispensary,52.42597,-1.871028
B130PT,P52R,EVERGREEN PHARMACY LTD,Pharmacy,52.424561,-1.872929
B138JL,Y04441,CHILDREN AND FAMILIES DIVISION,Surgery,52.445923,-1.892891
B138JL,Y04656,BCHC COMMUNITY MEDICAL ASSESSMENT UNIT,Surgery,52.445923,-1.892891
B138JL,Y05789,BCHC HEALTH RESPITE,Surgery,52.445923,-1.892891
B138JP,FT623,BAGGALEY CHEMIST,Dispensary,52.44592,-1.889287
B138JP,P68C,BAGGALEY CHEMIST,Pharmacy,52.44592,-1.889287
B138JS,M85021,MOSELEY MEDICAL CENTRE,Surgery,52.446459,-1.889786
B138PX,FWM83,PHARMACY CARE MATTERS,Dispensary,52.443172,-1.89253
B138PX,P1PP,KIRPAL SINGH SONDHI,Pharmacy,52.443172,-1.89253
B138QS,M85733,MOOR GREEN LANE MED.CTR.,Surgery,52.438179,-1.910533
B139AG,FTQ26,FAKIR CHEMIST,Dispensary,52.450774,-1.880225
B139AG,P672,MOSELEY CARE LTD,Pharmacy,52.450774,-1.880225
B139EZ,FRX47,CHEMYCARE PHARMACY,Dispensary,52.445104,-1.882918
B139EZ,P4Q3,CHEMICARE MOSELEY LTD,Pharmacy,52.445104,-1.882918
B139HD,M85074,WAKE GREEN SURGERY,Surgery,52.446103,-1.883357
B13AL,M85797,HOCKLEY MEDICAL PRACTICE,Surgery,52.485979,-1.915379
B13RA,M85768,SUMMERHILL MEDICAL UNIT,Surgery,52.482634,-1.913766
B144BW,FME55,BROWNS PHARMACY,Dispensary,52.414521,-1.869716
B144DU,Y04793,AQP ANTICOAG YARDLEY WOOD HEALTH CENTRE,Surgery,52.418648,-1.859168
B144DU,FP600,LLOYDSPHARMACY,Dispensary,52.418648,-1.859168
B144DU,Y06883,OHP MOBY PCN EXTENDED ACCESS HUB,Surgery,52.418648,-1.859168
B144DU,M85018,YARDLEY WOOD HEALTH CENTRE,Surgery,52.418648,-1.859168
B144DU,Y02441,ANTICOAG SERV YARDLEY WOOD,Surgery,52.418648,-1.859168
B144JU,Y04733,AQP ANTICOAG GOODREST CROFT SURGERY,Surgery,52.414936,-1.868046
B144LR,FRE79,PRINCE OF WALES PHARMACY,Dispensary,52.409782,-1.86901
B144LR,T2B1N,K.U PHARMA LIMITED,Pharmacy,52.409782,-1.86901
B145DJ,M85179,MAYPOLE HEALTH SURGERY Y,Surgery,52.409739,-1.884717
B145EZ,P787,WHITES PHARMACY LTD,Pharmacy,52.411539,-1.886168
B145EZ,FWG01,WHITES PHARMACY,Dispensary,52.411539,-1.886168
B145JA,FWP20,YOUR LOCAL BOOTS PHARMACY,Dispensary,52.406025,-1.887116
B145SB,P0A3,DRUIDS HEATH PHARMACY,Pharmacy,52.405307,-1.898789
B145SB,M85136,DRUIDS HEATH SURGERY,Surgery,52.405307,-1.898789
B145SB,FYY02,DRUIDS HEATH PHARMACY,Dispensary,52.405307,-1.898789
B146AA,FHX90,ASKERS CHEMIST,Dispensary,52.427278,-1.89301
B146AA,Y02435,ANTICOAG SERVICE KINGSFIELD,Surgery,52.427278,-1.89301
B146AA,M85693,FEATHERSTONE MEDICAL CENTRE,Surgery,52.427278,-1.89301
B146AA,M85037,KINGSFIELD MEDICAL CENTRE,Surgery,52.427278,-1.89301
B147AG,Y02571,POPLAR PRIMARY CARE CENTRE,Surgery,52.43631,-1.890326
B147AG,FD827,TWILIGHT PHARMACY,Dispensary,52.43631,-1.890326
B147DG,P3EW,ZSA TRADERS,Pharmacy,52.434115,-1.892546
B147DG,FFY02,BOOTS UK LTD,Dispensary,52.434115,-1.892546
B147LG,FL799,LLOYDSPHARMACY,Dispensary,52.434011,-1.893185
B147NH,FF754,LLOYDSPHARMACY,Dispensary,52.427595,-1.906686
B147NH,FFK75,KINGS HEATH PHARMACY,Dispensary,52.427595,-1.906686
B151LZ,FD732,ATTWOOD GREEN PHARMACY,Dispensary,52.472642,-1.908471
B151LZ,Y06567,ATTWOOD GREEN HEALTH UNIT,Surgery,52.472642,-1.908471
B151LZ,M85025,BATH ROW MEDICAL PRACTICE,Surgery,52.472642,-1.908471
B152DZ,P47Y,DISSCBAND LTD,Pharmacy,52.468258,-1.901635
B152GW,Y03965,SOLIHULL COMMUNITY,Surgery,52.453198,-1.93847
B152QU,M85167,UNIVERSITY MEDICAL PRACTICE,Surgery,52.455844,-1.937987
B152WB,Y04762,AQP ANTICOAG QE HERITAGE BUILDING,Surgery,52.450146,-1.941776
B152WB,A91157,BIRMINGHAM MEDICAL FACILITY,Surgery,52.450146,-1.941776
B153BU,Y06558,WARWICKSHIRE SOUTH DERMATOLOGY SERVICE,Surgery,52.471325,-1.922375
B153BU,Y06363,WARWICKSHIRE NORTH DERMATOLOGY,Surgery,52.471325,-1.922375
B153BU,Y06964,HEALTHHARMONIE CARPAL TUNNEL SERV,Surgery,52.471325,-1.922375
B153BU,Y06353,HERTS VALLEY COMMUNITY DERMATOLOGY HH,Surgery,52.471325,-1.922375
B153BU,Y05723,HEALTH HARMONIE GYNAECOLOGY,Surgery,52.471325,-1.922375
B153BU,Y07027,HEALTHHARMONIE,Surgery,52.471325,-1.922375
B153BU,Y05373,STOKE/STAFFS DERMATOLOGY SERVICE,Surgery,52.471325,-1.922375
B153BU,Y02426,COMMUNITY DERMATOLOGY SERVICE,Surgery,52.471325,-1.922375
B153BU,Y07128,FRIMLEY - COMMUNITY DERMATOLOGY SERVICE,Surgery,52.471325,-1.922375
B153BU,Y05973,BERKSHIRE OPHTHALMOLOGY SERVICE,Surgery,52.471325,-1.922375
B153BU,Y06563,BASSET LAW DERMATOLOGY SERVICE,Surgery,52.471325,-1.922375
B153BU,Y06978,WALSALL COMMUNITY GYNAECOLOGY SERVICE-HH,Surgery,52.471325,-1.922375
B153SJ,Y03598,THE WESTBOURNE CENTRE,Surgery,52.466075,-1.923003
B160HH,M85684,CITY ROAD MEDICAL CENTRE,Surgery,52.4856,-1.942004
B160HZ,M85706,DRUID GROUP - EMC SURGERY,Surgery,52.485847,-1.943953
B160LU,M85098,ROTTON PARK MEDICAL CENTRE,Surgery,52.482162,-1.947079
B168RP,FRK99,FIVE WAYS PHARMACY,Dispensary,52.477699,-1.92363
B168RP,P2G9,MRS PARMINDER CHAND,Pharmacy,52.477699,-1.92363
B168UU,P628,NOOR PHARMACY,Pharmacy,52.473169,-1.930714
B169AL,M85088,KARIS MEDICAL CENTRE,Surgery,52.474621,-1.931659
B169AL,FAD47,NOOR PHARMACY,Dispensary,52.474621,-1.931659
B169AL,Y00921,B.D.I.P.KARIS,Surgery,52.474621,-1.931659
B170HG,Y02433,ANTICOAG SERVICE HARBOURNE,Surgery,52.458581,-1.946283
B170HG,M85058,HARBORNE MEDICAL PRACTICE,Surgery,52.458581,-1.946283
B178DP,M88020,SHERWOOD HOUSE MEDICAL PRACTICE,Surgery,52.473851,-1.959426
B178DP,FK138,LLOYDSPHARMACY,Dispensary,52.473851,-1.959426
B178LG,M85711,CITY HEALTH CENTRE,Surgery,52.476692,-1.958202
B179DB,Y02436,ANTICOAG SERVICE LORDSWOOD,Surgery,52.459054,-1.961221
B179DB,FWF13,KNIGHTS LORDSWOOD PHARMACY,Dispensary,52.459054,-1.961221
B179DB,P09E,LORDSWOD PHARMACY,Pharmacy,52.459054,-1.961221
B179DB,Y04736,AQP ANTICOAG LORDSWOOD MEDICAL GROUP,Surgery,52.459054,-1.961221
